NAZWA,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DOLNOŚLĄSKIE,12846,13193,13657,14140,15405,15149,15329,14304,14007,13352,13952,13374,14146,14500,14327,14001,13073,12676,11755
KUJAWSKO-POMORSKIE,10251,10560,10850,11180,11834,11763,11684,10866,10734,10219,10353,9866,10118,10918,10276,9996,9232,8679,7776
LUBELSKIE,10692,10936,11031,11164,11727,11756,11724,10966,10647,10122,10150,10127,9982,10633,10416,9918,9310,8586,7887
LUBUSKIE,5086,5091,5382,5548,5771,5896,5655,5316,5302,4893,4982,4903,4988,5327,4859,4541,4405,3989,3588
ŁÓDZKIE,11569,11668,12103,12234,13100,13407,13034,12387,12226,11500,11768,11361,11769,12122,11920,10994,10682,10025,9225
MAŁOPOLSKIE,16600,16673,16610,17512,18804,19284,19228,18207,18046,17677,17805,17909,18713,19725,19611,18844,18211,17022,15955
MAZOWIECKIE,24722,25598,27085,28415,30596,30622,31964,29473,29453,28462,29506,29590,30477,31901,31120,30732,29071,27481,25750
OPOLSKIE,4302,4308,4422,4380,4678,4900,5002,4396,4610,4276,4413,4374,4429,4629,4419,4273,4093,3745,3526
PODKARPACKIE,10486,10652,10435,10772,11425,11515,11310,10821,10898,10411,10215,9968,10407,11302,10915,10707,10045,9273,8777
PODLASKIE,5511,5568,5751,5731,6217,6289,6422,5739,5843,5421,5820,5550,5839,6158,5966,5829,5430,5170,4644
POMORSKIE,11837,12114,12508,13148,14188,14166,13995,12900,12910,12352,12597,12609,13304,14062,13676,13426,12612,11972,10686
ŚLĄSKIE,20639,20951,21804,22590,23990,24572,24507,23308,22838,21930,21775,21401,22012,23093,21931,20753,19491,17870,16196
ŚWIĘTOKRZYSKIE,5798,5887,5837,6135,6511,6573,6462,5997,6059,5529,5502,5307,5434,5577,5520,5213,4896,4475,4114
WARMIŃSKO-MAZURSKIE,7451,7628,7625,8073,8453,8593,8096,7621,7373,7046,7191,6741,6846,7361,7040,6632,6229,5413,5065
WIELKOPOLSKIE,17367,18250,18973,19628,21076,21200,21034,19532,19503,18772,19129,18927,19713,20775,19875,19270,18466,17142,15589
ZACHODNIOPOMORSKIE,8265,8308,8445,8688,9171,9223,8982,8088,8247,7955,7933,7670,8044,8327,7949,7556,7054,6618,5912
